Month,CentralPark,WhitePlains
2002-01,39.9,35.6
2002-02,40.6,36.4
2002-03,44.1,40.4
2002-04,56.1,51.4
2002-05,60.7,56.3
2002-06,71.5,67.6
2002-07,78.8,74.8
2002-08,77.7,73.4
2002-09,70.2,65.7
2002-10,55.2,51.4
2002-11,46.0,41.3
2002-12,36.0,31.9
2003-01,27.5,24.0
2003-02,30.1,25.7
2003-03,43.1,38.7
2003-04,49.8,46.1
2003-05,58.7,55.6
2003-06,68.4,65.5
2003-07,75.8,72.5
2003-08,76.7,73.5
2003-09,67.9,64.7
2003-10,55.1,51.3
2003-11,50.0,46.3
2003-12,37.6,34.3
2004-01,24.7,21.2
2004-02,35.0,30.9
2004-03,43.5,39.6
2004-04,53.6,49.9
2004-05,65.2,61.3
2004-06,71.2,67.2
2004-07,74.5,71.3
2004-08,74.2,70.6
2004-09,69.3,65.5
2004-10,56.0,53.3
2004-11,48.2,44.6
2004-12,38.4,34.1
2005-01,31.3,26.4
2005-02,36.5,32.0
2005-03,39.5,34.4
2005-04,55.1,50.5
2005-05,58.9,54.8
2005-06,74.0,70.9
2005-07,77.5,73.8
2005-08,79.7,75.0
2005-09,73.3,68.4
2005-10,57.9,54.9
2005-11,49.6,45.5
2005-12,35.3,31.4
2006-01,40.9,36.5
2006-02,35.7,31.8
2006-03,43.1,39.4
2006-04,55.7,51.2
2006-05,63.1,59.6
2006-06,71.0,69.0
2006-07,77.9,75.3
2006-08,75.8,72.6
2006-09,66.6,63.5
2006-10,56.2,53.3
2006-11,51.9,48.8
2006-12,43.6,40.4
2007-01,37.5,34.4
2007-02,28.3,25.6
2007-03,42.2,37.8
2007-04,50.3,47.2
2007-05,65.2,61.9
2007-06,71.4,68.7
2007-07,75.0,72.6
2007-08,74.0,71.8
2007-09,70.3,66.6
2007-10,63.6,60.1
2007-11,45.4,42.0
2007-12,37.0,33.4
2008-01,36.5,32.9
2008-02,35.8,32.2
2008-03,42.6,39.0
2008-04,55.0,51.6
2008-05,60.1,57.0
2008-06,74.0,70.8
2008-07,78.4,74.8
2008-08,73.8,70.1
2008-09,68.8,66.3
2008-10,55.1,52.1
2008-11,45.9,42.7
2008-12,38.1,34.2
2009-01,27.9,24.0
2009-02,36.7,32.6
2009-03,42.4,38.5
2009-04,54.5,50.7
2009-05,62.5,59.3
2009-06,67.5,65.3
2009-07,72.7,70.6
2009-08,75.7,73.6
2009-09,66.3,63.0
2009-10,55.0,51.8
2009-11,51.1,48.5
2009-12,35.9,32.8
2010-01,32.5,29.2
2010-02,33.1,31.0
2010-03,48.2,44.8
2010-04,57.9,54.0
2010-05,65.3,62.2
2010-06,74.7,71.4
2010-07,81.3,77.0
2010-08,77.4,72.9
2010-09,71.1,67.4
2010-10,58.1,55.0
2010-11,47.9,44.3
2010-12,32.8,30.0
2011-01,29.7,25.0
2011-02,36.0,30.9
2011-03,42.3,39.0
2011-04,54.3,50.8
2011-05,64.5,61.3
2011-06,72.3,69.1
2011-07,80.2,76.6
2011-08,75.3,72.4
2011-09,70.0,67.7
2011-10,57.1,54.2
2011-11,51.9,48.7
2011-12,43.3,39.5
2012-01,37.3,34.4
2012-02,40.9,37.4
2012-03,50.9,47.8
2012-04,54.8,51.7
2012-05,65.1,62.8
2012-06,71.0,68.5
2012-07,78.8,76.4
2012-08,76.7,73.8
2012-09,68.8,65.7
2012-10,58.0,55.6
2012-11,43.9,41.0
2012-12,41.5,38.2
2013-01,35.1,31.6
2013-02,33.9,31.3
2013-03,40.1,38.2
2013-04,53.0,49.1
2013-05,62.8,59.4
2013-06,72.7,69.2
2013-07,79.8,77.0
2013-08,74.6,70.9
2013-09,67.9,63.4
2013-10,60.2,56.3
2013-11,45.3,41.6
2013-12,38.5,34.0
2014-01,28.6,24.8
2014-02,31.6,27.5
2014-03,37.7,33.2
2014-04,52.3,48.1
2014-05,64.0,60.3
2014-06,72.5,68.7
2014-07,76.1,72.8
2014-08,74.5,70.7
2014-09,69.7,66.2
2014-10,59.6,55.8
2014-11,45.3,41.5
2014-12,40.5,37.2
2015-01,29.9,26.3
2015-02,23.9,18.9
2015-03,38.1,33.2
2015-04,54.3,49.7
2015-05,68.5,63.5
2015-06,71.2,67.6
2015-07,78.8,74.5
2015-08,79.0,74.5
2015-09,74.5,69.9
2015-10,58.0,53.3
2015-11,52.8,48.5
2015-12,50.8,46.2
2016-01,34.5,31.0
2016-02,37.7,34.3
2016-03,48.9,45.0
2016-04,53.3,48.7
2016-05,62.8,59.6
2016-06,72.3,68.8
2016-07,78.7,76.3
2016-08,79.2,76.1
2016-09,71.8,68.8
2016-10,58.8,55.9
2016-11,49.8,46.6
2016-12,38.3,35.3
2017-01,38.0,35.6
2017-02,41.6,37.6
2017-03,39.2,36.2
2017-04,57.2,53.9
2017-05,61.1,56.2
2017-06,72.0,69.1
2017-07,76.8,73.8
2017-08,74.0,71.4
2017-09,70.5,67.9
2017-10,64.1,61.5
2017-11,46.6,42.5
2017-12,35.0,31.4
2018-01,31.7,27.7
2018-02,42.0,37.6
2018-03,40.1,37.2
2018-04,49.5,44.8
2018-05,66.9,63.4
2018-06,71.7,68.1
2018-07,77.6,75.0
2018-08,78.1,75.8
2018-09,70.7,68.0
2018-10,57.7,54.4
2018-11,44.4,41.4
2018-12,40.1,36.5
2019-01,32.5,29.1
2019-02,36.2,32.7
2019-03,41.7,37.2
2019-04,55.5,51.3
2019-05,62.2,58.9
2019-06,71.7,68.6
2019-07,79.6,76.8
2019-08,75.5,72.2
2019-09,70.4,66.4
2019-10,59.9,56.3
2019-11,43.9,40.5
2019-12,38.3,35.8
2020-01,39.1,35.3
2020-02,40.1,36.1
2020-03,48.0,43.9
2020-04,50.4,46.3
2020-05,60.3,57.3
2020-06,73.7,69.6
2020-07,80.0,76.9
2020-08,76.9,73.7
2020-09,68.8,65.2
2020-10,57.9,54.9
2020-11,53.0,47.9
2020-12,39.2,35.0
2021-01,34.8,30.9
2021-02,34.2,30.4
2021-03,45.8,41.3
2021-04,54.6,50.5
2021-05,62.9,58.5
2021-06,74.3,70.5
2021-07,76.0,72.9
2021-08,77.5,74.4
2021-09,70.3,66.7
2021-10,62.0,59.8
2021-11,46.2,42.6
2021-12,43.8,39.8
2022-01,30.3,26.4
2022-02,37.3,33.2
2022-03,45.3,41.2
2022-04,52.8,49.8
2022-05,64.0,62.4
2022-06,71.4,68.4
2022-07,79.5,76.8
2022-08,79.3,76.8
2022-09,69.5,66.6
2022-10,56.9,54.6
2022-11,50.9,47.7
2022-12,38.5,35.0
2023-01,43.5,40.0
2023-02,41.1,36.4
2023-03,44.6,41.3
2023-04,57.6,53.6
2023-05,62.7,58.8
2023-06,70.0,66.9
2023-07,79.0,76.2
2023-08,75.0,71.8
2023-09,69.4,67.1
2023-10,60.5,57.9
2023-11,46.7,42.7
2023-12,44.6,40.7
2024-01,37.0,33.6
2024-02,40.1,35.3
2024-03,48.1,44.4
2024-04,55.6,50.7
2024-05,65.0,62.3
2024-06,75.1,71.9
2024-07,79.6,76.6
2024-08,75.1,73.0
2024-09,68.8,65.8
2024-10,60.9,57.5
2024-11,51.4,48.2
2024-12,38.2,34.8
